p_val avg_logFC pct.1 pct.2 p_val_adj cluster gene
SLC2A31 6.72403365819534e-10 0.47296964957208 0.367 0.228 2.20131413901999e-05 2 SLC2A3
SKP1 9.51556536752373e-10 0.268835607834219 0.62 0.435 3.11520579001992e-05 2 SKP1
HNRNPF 1.42983662193815e-09 0.272259058395971 0.527 0.351 4.68099913290111e-05 2 HNRNPF
PDCD5 2.34795462174751e-09 0.309524640995943 0.288 0.165 7.68673384067701e-05 2 PDCD5
BTG21 3.03707877115211e-09 0.268302763467574 0.497 0.334 9.94278848099777e-05 2 BTG2
PPA11 4.83260033247307e-09 0.299716277927162 0.448 0.288 0.000158209669684503 2 PPA1
NSMCE1 5.99016233832147e-08 0.314169042215302 0.284 0.171 0.00196105934631968 2 NSMCE1
PSMC5 3.31618928470403e-07 0.315559056473165 0.4 0.266 0.0108565404802641 2 PSMC5
RWDD1 6.48626858145883e-07 0.285625015582337 0.365 0.235 0.0212347460819799 2 RWDD1
ARHGDIA 1.243773689463e-06 0.257642627423894 0.387 0.269 0.0407186630456397 2 ARHGDIA
DDIT4 1.316078590673e-06 0.261395460835956 0.316 0.202 0.0430857809014526 2 DDIT4
XRCC6 1.5120292635437e-06 0.259800228443638 0.435 0.305 0.0495008140298937 2 XRCC6
TAP1 2.73916258563717e-06 0.25751579091991 0.323 0.214 0.0896747047285898 2 TAP1
KHDRBS1 6.07541389044956e-05 0.250117260461585 0.325 0.228 1 2 KHDRBS1
EWSR1 0.000222425268958443 0.254595681431038 0.266 0.182 1 2 EWSR1
NSA2 0.00359264758281626 0.416938067905167 0.284 0.213 1 2 NSA2
FUS 0.00889402527108564 0.307194759237396 0.336 0.267 1 2 FUS
CD79A 0 2.98694690417107 0.936 0.041 0 3 CD79A
MS4A1 0 2.34100536306845 0.855 0.053 0 3 MS4A1
CD79B 2.6750383590433e-274 2.41301349409992 0.916 0.142 8.75754057983596e-270 3 CD79B
LINC00926 2.38412676227615e-272 1.96982102101956 0.564 0.009 7.80515419433965e-268 3 LINC00926
TCL1A 9.48176228518399e-271 2.48886530928141 0.622 0.022 3.10413933692354e-266 3 TCL1A
HLA-DQA1 3.01884959428159e-266 2.1192299194054 0.89 0.118 9.88310980175907e-262 3 HLA-DQA1
VPREB3 2.75280685578214e-237 1.68019261613774 0.488 0.007 9.01213908445957e-233 3 VPREB3
HLA-DQB1 1.17001693922954e-229 2.13231786968434 0.863 0.147 3.83040145564967e-225 3 HLA-DQB1
CD74 5.28483342443996e-185 2.02451438888465 1 0.821 1.73014876649315e-180 3 CD74
HLA-DRA1 1.96994731431889e-183 1.91509183754967 1 0.494 6.4492135176172e-179 3 HLA-DRA
FCER2 2.43280315403283e-170 1.45404377162933 0.381 0.009 7.96451096567267e-166 3 FCER2
HLA-DPB11 2.41961480585089e-165 1.62673598744187 0.985 0.449 7.92133495139463e-161 3 HLA-DPB1
BANK1 3.30065007995269e-159 1.43822837693998 0.483 0.037 1.08056682317491e-154 3 BANK1
HLA-DRB11 5.44146967758744e-154 1.4234100708047 0.983 0.381 1.78142834304858e-149 3 HLA-DRB1
HLA-DPA11 4.71086121478846e-142 1.37787483777517 0.977 0.421 1.54224174449744e-137 3 HLA-DPA1
TSPAN13 3.98636175318832e-138 1.15433160576197 0.311 0.007 1.30505511075879e-133 3 TSPAN13
HLA-DQA2 3.72811865277886e-137 1.45826120752596 0.523 0.065 1.22051148454674e-132 3 HLA-DQA2
FCRLA 7.08341690910459e-135 1.19581849851681 0.297 0.006 2.31896902770266e-130 3 FCRLA
CD37 9.41043692918196e-130 1.32742466197895 0.962 0.741 3.08078884187559e-125 3 CD37
HLA-DRB51 1.09049803369905e-119 1.30299096084918 0.852 0.276 3.57007246272395e-115 3 HLA-DRB5
HVCN1 2.30175124275297e-119 1.28875042900277 0.491 0.068 7.53547321852469e-115 3 HVCN1
PKIG 7.4373390863923e-116 1.03535391246734 0.276 0.008 2.43483607010311e-111 3 PKIG
HLA-DOB 1.160779891196e-114 1.04764868336025 0.288 0.011 3.80016120779747e-110 3 HLA-DOB
BLK 1.46905699706959e-101 1.0242494874305 0.282 0.015 4.80939879700642e-97 3 BLK
HLA-DMA1 5.36860091298796e-101 1.34822372034088 0.695 0.201 1.757572566894e-96 3 HLA-DMA
PDLIM1 2.73579279841918e-98 0.967436298743855 0.317 0.024 8.9564384634647e-94 3 PDLIM1
GNG7 3.04477163413136e-98 0.999863030126305 0.288 0.018 9.96797337581924e-94 3 GNG7
CD72 9.25292295036622e-98 1.08197717280049 0.265 0.013 3.02922191549089e-93 3 CD72
HLA-DMB1 1.40153201492555e-92 1.29451352935579 0.549 0.126 4.58833551046325e-88 3 HLA-DMB
P2RX5 3.82233826050449e-87 1.10961719037304 0.273 0.02 1.25135709972396e-82 3 P2RX5
CD40 2.47314288882687e-84 0.919789748973586 0.291 0.026 8.09657518944141e-80 3 CD40
EAF2 1.70670738657877e-74 1.16111620534444 0.352 0.056 5.58741864218159e-70 3 EAF2
PPAPDC1B 6.52408545489668e-71 1.05608198752757 0.314 0.044 2.13585509622408e-66 3 PPAPDC1B
IRF8 3.87848932565112e-69 1.20818760104534 0.375 0.071 1.26973983543166e-64 3 IRF8
RPL18A 2.00368257499514e-66 0.417698397584199 1 0.993 6.55965601401909e-62 3 RPL18A
CYB561A3 1.38217608683848e-61 0.972053264961772 0.326 0.058 4.52496807309181e-57 3 CYB561A3
QRSL1 3.27597751607685e-61 0.929390740688112 0.27 0.037 1.07248951921324e-56 3 QRSL1
MARCH1 2.23479183650997e-57 0.952531405612161 0.282 0.045 7.31626151436633e-53 3 MARCH1
MEF2C 8.49635505662427e-55 0.923785643693717 0.267 0.042 2.78153671843765e-50 3 MEF2C
RPS231 1.71490145496912e-52 0.437276316112585 1 0.98 5.61424438327791e-48 3 RPS23
SMIM14 3.87510598609411e-52 1.03038327435302 0.323 0.069 1.26863219772749e-47 3 SMIM14
RPS11 4.46571200428479e-51 0.473483245575624 0.991 0.943 1.46198479596276e-46 3 RPS11
RPS51 9.93846306976993e-50 0.392120559143092 1 0.976 3.25365403978128e-45 3 RPS5
LY861 5.05402545764263e-49 0.870112915219746 0.465 0.151 1.65458685432304e-44 3 LY86
PLEKHF2 7.82517166876937e-49 0.911159113327762 0.294 0.06 2.56180470092172e-44 3 PLEKHF2
SNX2 6.9001270127886e-46 0.918470106940896 0.471 0.176 2.25896358144673e-41 3 SNX2
LTB2 9.78146781146663e-45 0.510720080711248 0.936 0.669 3.20225693211794e-40 3 LTB
ISG201 2.46549572582017e-39 0.835853885232073 0.695 0.427 8.07153990719006e-35 3 ISG20
NCF11 2.52782257915595e-38 0.81082226911409 0.392 0.132 8.27558555964076e-34 3 NCF1
CXCR4 9.90093273340867e-38 0.770962146759761 0.811 0.569 3.24136735826333e-33 3 CXCR4
RPL13A1 1.52692075092178e-36 0.284731268137164 1 0.999 4.99883315436773e-32 3 RPL13A
SNHG7 1.11993069541246e-35 0.801277596000551 0.5 0.231 3.66642911064131e-31 3 SNHG7
LAPTM5 1.6627046991618e-35 0.705716328213945 0.872 0.781 5.44336264411589e-31 3 LAPTM5
RPS81 7.79098956976688e-35 0.302784667589706 1 0.986 2.55061416535028e-30 3 RPS8
RPL15 1.43349278320497e-33 0.261924703952582 1 0.995 4.69296867365642e-29 3 RPL15
RPL8 3.30735144361311e-31 0.298555289106123 1 0.986 1.08276071561006e-26 3 RPL8
FAIM3 4.32694862993966e-29 0.791462447999564 0.41 0.178 1.41655644246965e-24 3 FAIM3
RPL181 1.07640700827063e-26 0.2600634523258 0.994 0.982 3.5239412636764e-22 3 RPL18
RPS271 1.78179943148615e-24 0.258047565414145 0.997 0.993 5.83325497879934e-20 3 RPS27
RPL10A1 4.87038923813644e-24 0.256382552853936 0.997 0.985 1.59446802878111e-19 3 RPL10A
PTPRCAP 1.33362481678799e-23 0.496847189553577 0.843 0.612 4.36602092520053e-19 3 PTPRCAP
STX7 9.72795858307221e-23 0.68915144723352 0.273 0.102 3.18473908092618e-18 3 STX7
CD52 1.03809308001553e-21 0.375923916801935 0.953 0.886 3.39850912535483e-17 3 CD52
GNB2L1 1.05330890436631e-20 0.305143425454832 0.997 0.978 3.44832269111442e-16 3 GNB2L1
SYPL1 1.17537307773039e-20 0.625868377555321 0.297 0.122 3.84793638187376e-16 3 SYPL1
RPSA2 9.19029272381516e-20 0.299711553837487 0.988 0.954 3.00871803192261e-15 3 RPSA
LIMD2 1.24347032725577e-18 0.397910960136818 0.756 0.643 4.07087315736996e-14 3 LIMD2
BIRC3 4.27669549055853e-17 0.592390842649382 0.262 0.111 1.40010456969905e-12 3 BIRC3
RPS211 2.42101023196258e-15 0.306287331230151 0.907 0.859 7.92590329739909e-11 3 RPS21
PRKCB 3.8473598140874e-15 0.597169709085002 0.265 0.121 1.25954865593593e-10 3 PRKCB
SNX3 1.23365002503729e-14 0.552540777365344 0.581 0.449 4.03872345196707e-10 3 SNX3
EEF2 2.60927383134755e-14 0.389824061359561 0.866 0.833 8.54224066906561e-10 3 EEF2
FAM26F1 2.94254407871856e-14 0.589209372954532 0.366 0.209 9.63330080490881e-10 3 FAM26F
POLD4 2.73894676063894e-13 0.568952359291937 0.485 0.328 8.96676390497976e-09 3 POLD4
PLAC8 7.48684462028802e-13 0.46830297921002 0.576 0.441 2.45104319178989e-08 3 PLAC8
EEF1B21 8.80496414437584e-13 0.327047525415718 0.913 0.884 2.88256916158576e-08 3 EEF1B2
RPL22L1 8.61211487403535e-12 0.65671918847338 0.323 0.182 2.81943416746169e-07 3 RPL22L1
RCSD1 2.97798258913849e-11 0.489366901315807 0.328 0.199 9.74931940032158e-07 3 RCSD1
SEC62 3.17925156787958e-11 0.518096867428703 0.337 0.205 1.04082337829242e-06 3 SEC62
PNISR 1.31612576250846e-10 0.474357168148998 0.477 0.357 4.3087325213002e-06 3 PNISR
BLOC1S2 5.99574507907363e-10 0.503306185821634 0.262 0.147 1.96288702398713e-05 3 BLOC1S2
HMGN1 2.10451467101427e-09 0.305543830402687 0.622 0.517 6.8897601299665e-05 3 HMGN1
TMEM243 3.23031601113309e-09 0.441350206563277 0.305 0.189 0.000105754085572475 3 TMEM243
RNASEH2B 4.08198421774862e-09 0.37072461959174 0.265 0.152 0.000133635999320654 3 RNASEH2B
POU2F21 4.23116045800404e-09 0.392723365945826 0.259 0.145 0.000138519731074136 3 POU2F2
CD691 5.24067017682601e-09 0.464164587540162 0.468 0.345 0.00017156906024893 3 CD69
DRAM2 1.17978140844148e-08 0.357535761275081 0.253 0.148 0.00038623683749557 3 DRAM2
SELL 4.70760746530827e-08 0.593674989014529 0.573 0.458 0.00154117653199262 3 SELL
EIF4A21 6.63875662963904e-08 0.271996852794863 0.701 0.632 0.00217339614541123 3 EIF4A2
TSC22D3 7.26710476878053e-08 0.263458370738042 0.791 0.748 0.00237910475920337 3 TSC22D3
ZFP36L1 3.13466480463492e-07 0.353711060122459 0.326 0.23 0.0102622656374138 3 ZFP36L1
ATP6V1G1 3.49077200554003e-07 0.262666252446987 0.654 0.602 0.0114280893917369 3 ATP6V1G1
SP100 4.35867245826366e-07 0.371352127492742 0.358 0.256 0.0142694218938636 3 SP100
CD53 6.03819377959568e-07 0.372201373392141 0.608 0.539 0.0197678387956403 3 CD53
DCK 9.95149266855236e-07 0.433586639366459 0.267 0.18 0.0325791966983067 3 DCK
PAPOLA 1.08095863121171e-06 0.457102893548602 0.294 0.207 0.0353884236686091 3 PAPOLA
EZR 2.61828275473341e-06 0.433790975082747 0.273 0.186 0.0857173408244623 3 EZR
CCNI 3.15391485817361e-06 0.282174936681893 0.669 0.625 0.103252864626888 3 CCNI
ANAPC16 3.64131621511942e-06 0.402985345922795 0.535 0.474 0.119209410250579 3 ANAPC16
HERPUD1 3.91521893700479e-06 0.349608255112809 0.288 0.201 0.128176437559663 3 HERPUD1
PTPN6 9.60058994917486e-06 0.359688895409437 0.372 0.284 0.314304113756086 3 PTPN6
ERP29 1.16099026284311e-05 0.278917805495861 0.599 0.558 0.380084992249577 3 ERP29
UCP2 1.28456514290517e-05 0.376160041899325 0.593 0.557 0.420540936484294 3 UCP2
SP110 1.3655467195215e-05 0.330510463262308 0.355 0.273 0.447052685036948 3 SP110
CIRBP 2.70007583914137e-05 0.25204757075996 0.727 0.704 0.883950828218103 3 CIRBP
TXNIP 2.73338637842322e-05 0.266196435120748 0.77 0.758 0.894856032568193 3 TXNIP
RASGRP2 2.94341186304408e-05 0.668247156764443 0.308 0.233 0.963614175723371 3 RASGRP2
RHOH1 4.29576650216069e-05 0.291489788204838 0.323 0.239 1 3 RHOH
TAF7 5.54898873056954e-05 0.383473696150076 0.291 0.216 1 3 TAF7
FAM65B 6.83278631009619e-05 0.351677571690285 0.358 0.294 1 3 FAM65B
STK17A 0.00010858797555842 0.426243178008865 0.375 0.31 1 3 STK17A
LSM7 0.00015853126368015 0.27633645278001 0.334 0.262 1 3 LSM7
TSTD1 0.000388667066352585 0.355702424602799 0.279 0.218 1 3 TSTD1
LSM10 0.000409504303180577 0.355903741209656 0.267 0.204 1 3 LSM10
TCEA1 0.000702574427210186 0.267690700253006 0.273 0.212 1 3 TCEA1
EIF4G2 0.000705789935525451 0.269759102782566 0.358 0.304 1 3 EIF4G2
HNRNPDL 0.000719919806621885 0.319854690581364 0.602 0.606 1 3 HNRNPDL
UQCRH 0.00100633804932677 0.388074037116816 0.491 0.45 1 3 UQCRH
HMGB1 0.00159760265449852 0.351886212103181 0.64 0.633 1 3 HMGB1
SEP15 0.00209943813536729 0.320121707874022 0.331 0.292 1 3 SEP15
SPCS2 0.00710374128597252 0.27184576006514 0.331 0.301 1 3 SPCS2
CCL5 2.32281666637813e-208 2.1484335062491 0.96 0.227 7.60443720238873e-204 4 CCL5
NKG7 6.02545456626731e-193 1.62948331548735 0.95 0.208 1.97261331590459e-188 4 NKG7
GZMK 1.65857614403944e-187 2.1761743035935 0.583 0.048 5.42984658035633e-183 4 GZMK
GZMA 2.37829972883688e-180 1.48701124774756 0.791 0.115 7.78607765226618e-176 4 GZMA
CST7 1.17234634207143e-176 1.46705063087809 0.776 0.116 3.83802745467346e-172 4 CST7
CTSW 9.66592351633499e-126 1.40989510700251 0.819 0.227 3.16443004077775e-121 4 CTSW
CD8A 1.8712784241582e-104 1.31917146211732 0.474 0.069 6.12619130500913e-100 4 CD8A
KLRG1 3.60131470585686e-97 1.22777829039743 0.452 0.068 1.17899840840342e-92 4 KLRG1
LYAR 1.71724890657773e-88 1.03544936649002 0.561 0.13 5.62192947035418e-84 4 LYAR
B2M 3.60468163991833e-88 0.479127480298355 1 1 1.18010067527646e-83 4 B2M
GZMH 2.93001613018005e-81 1.79621227056791 0.389 0.06 9.59228680698343e-77 4 GZMH
IL321 1.80648976788266e-76 0.967117063246559 0.928 0.5 5.91408620209425e-72 4 IL32
HLA-C 2.45599042120115e-74 0.603537598194438 0.997 0.979 8.04042144092833e-70 4 HLA-C
PRF1 4.21298432968916e-63 0.670918412651007 0.48 0.111 1.37924680985364e-58 4 PRF1
HLA-A 2.42676686953529e-60 0.522563517131476 0.994 0.962 7.94474937748464e-56 4 HLA-A
GZMM 2.25331815260093e-59 0.912609782073619 0.576 0.199 7.37691296798492e-55 4 GZMM
HOPX 6.26140996758738e-53 1.02041749186947 0.43 0.11 2.04986039518876e-48 4 HOPX
CD3D2 4.81145202226194e-49 0.761597114694295 0.847 0.475 1.57517316304811e-44 4 CD3D
PTPRCAP1 3.14339572345757e-47 0.728696445189754 0.9 0.606 1.02908489194554e-42 4 PTPRCAP
MATK 9.3305189081069e-46 0.735679988769682 0.259 0.044 3.05462528013604e-41 4 MATK
HCST 7.10772095963982e-45 0.780612237060822 0.785 0.506 2.32692568776688e-40 4 HCST
CD8B 2.04374980729103e-42 0.974571460418522 0.361 0.095 6.69082811910937e-38 4 CD8B
SAMD3 2.50516576374525e-39 0.74488815726672 0.327 0.088 8.20141167734921e-35 4 SAMD3
HLA-B 5.41597418091217e-39 0.406356667397276 0.981 0.943 1.77308162734703e-34 4 HLA-B
MALAT11 1.02093365661185e-37 0.372337621661138 1 1 3.34233260501588e-33 4 MALAT1
CCL4 1.41110601530822e-37 0.680752089176503 0.324 0.085 4.61967887291606e-33 4 CCL4
NCR3 3.14808015893568e-34 0.973475121420619 0.274 0.069 1.03061848243236e-29 4 NCR3
APOBEC3G 4.24826968706851e-32 0.975135113260708 0.442 0.186 1.39079853015249e-27 4 APOBEC3G
C12orf75 3.46422096933293e-29 0.682955359816005 0.333 0.11 1.13411666094021e-24 4 C12orf75
FGFBP2 1.69802704737669e-28 0.622228725649457 0.293 0.085 5.55900094770182e-24 4 FGFBP2
LCK2 1.28328852933042e-25 0.52971243088414 0.601 0.328 4.20122998732194e-21 4 LCK
CD99 1.80296844542145e-25 0.525909542733277 0.713 0.478 5.90255809662075e-21 4 CD99
GZMB 4.34536008395146e-24 0.257642454333412 0.299 0.096 1.42258398428403e-19 4 GZMB
MYL12A1 4.37710455895798e-23 0.315649092084647 0.947 0.864 1.43297649051166e-18 4 MYL12A
DUSP2 1.3040706940903e-22 0.742366042779503 0.449 0.233 4.26926663831284e-18 4 DUSP2
CD3E2 6.80662322042289e-22 0.509286716952998 0.713 0.454 2.22835230990205e-17 4 CD3E
CHST12 1.08928334660752e-20 0.540376254763224 0.268 0.096 3.56609582012369e-16 4 CHST12
CD21 1.27969071910099e-20 0.578554404365462 0.502 0.293 4.18945147619283e-16 4 CD2
HLA-E 3.56859009639686e-19 0.352300383709347 0.95 0.879 1.16828502575841e-14 4 HLA-E
RARRES3 4.37641817573263e-19 0.516121656701263 0.648 0.448 1.43275178237135e-14 4 RARRES3
APMAP 3.11811895452789e-17 0.521207068629535 0.262 0.104 1.02080978333334e-12 4 APMAP
GNLY 1.18328669594908e-16 0.828016952722263 0.333 0.159 3.87384398519811e-12 4 GNLY
ID2 1.59524819714617e-15 0.537339149100746 0.548 0.365 5.22252354781713e-11 4 ID2
TPST2 3.56007163598547e-15 0.588432873257235 0.28 0.125 1.16549625218892e-10 4 TPST2
CD247 1.52501867780687e-14 0.326703301825504 0.436 0.245 4.99260614740413e-10 4 CD247
PFN1 2.98336978038244e-14 0.306709084062584 0.975 0.941 9.76695598701604e-10 4 PFN1
MT-CYB 1.65446241788145e-13 0.325391807290587 0.95 0.929 5.4163790636603e-09 4 MT-CYB
ZAP70 1.16264251830508e-12 0.670076260904935 0.265 0.127 3.80625907642719e-08 4 ZAP70
ARPC5L 2.87204265128587e-12 0.463174373109013 0.312 0.169 9.40249323177967e-08 4 ARPC5L
FYN 4.16551552133352e-12 0.46685941900085 0.287 0.149 1.36370647137417e-07 4 FYN
SLC9A3R1 5.81629640238248e-12 0.471969474990946 0.283 0.148 1.90413911621198e-07 4 SLC9A3R1
CTSC 7.65337721020484e-12 0.429475569967518 0.405 0.249 2.50556263107686e-07 4 CTSC
IL2RG1 1.91943438899399e-11 0.437386666348932 0.564 0.423 6.28384430268852e-07 4 IL2RG
CALM11 5.1991687895871e-11 0.386214568953964 0.757 0.667 1.70210387833503e-06 4 CALM1
LITAF 5.26673229525338e-11 0.639305609256691 0.433 0.295 1.72422281882005e-06 4 LITAF
DDX5 1.77390969613497e-10 0.25215944512193 0.875 0.805 5.80742556320667e-06 4 DDX5
BIN2 3.58947855928043e-10 0.428482071564112 0.48 0.354 1.17512349073723e-05 4 BIN2
MYL12B 4.68666140563672e-10 0.32045572785594 0.757 0.694 1.53431921097735e-05 4 MYL12B
MYO1F1 5.44464028972987e-10 0.432601387318996 0.352 0.221 1.78246633805176e-05 4 MYO1F
SEPT7 5.83443407326025e-10 0.366651855936106 0.458 0.323 1.91007702690394e-05 4 SEPT7
YWHAQ1 1.30076918134842e-09 0.466567126544535 0.396 0.274 4.25845814589844e-05 4 YWHAQ
CD531 1.54312150829177e-09 0.31330285702255 0.629 0.536 5.05187119384559e-05 4 CD53
C9orf142 1.55253175098255e-09 0.731713146657042 0.352 0.227 5.08267844636666e-05 4 C9orf142
HLA-F 1.73908451852823e-09 0.423431424463386 0.436 0.318 5.69341489675771e-05 4 HLA-F
LAT2 2.4322002884337e-09 0.384676835434533 0.336 0.204 7.96253730427426e-05 4 LAT
MT-ND2 2.93597531400007e-09 0.31553723286553 0.919 0.89 9.61179598297343e-05 4 MT-ND2
CD3G2 3.97210788594002e-09 0.509762781040875 0.321 0.205 0.000130038867969905 4 CD3G
PPP2R5C1 5.60103237757073e-09 0.392750969098738 0.355 0.228 0.000183366597976911 4 PPP2R5C
ANXA11 8.45266323465766e-09 0.377787758072421 0.688 0.58 0.000276723288976222 4 ANXA1
IFITM11 1.28864196157636e-08 0.334230735599414 0.589 0.461 0.000421875605380867 4 IFITM1
ARL4C 1.51105592096231e-08 0.38747748848963 0.305 0.183 0.00049468948740464 4 ARL4C
HSPA5 1.60881775288927e-08 0.467620553944357 0.299 0.186 0.00052669475594089 4 HSPA5
PLEK 2.26666012169368e-08 0.444832685141931 0.268 0.157 0.000742059190640076 4 PLEK
PIM1 2.39757815520941e-08 0.394578450816603 0.283 0.172 0.000784919136452455 4 PIM1
HSP90AA1 3.85941671484016e-08 0.257632984318525 0.614 0.527 0.00126349584410437 4 HSP90AA1
STK17A1 5.98043053191081e-08 0.280189942403265 0.433 0.303 0.00195787334753696 4 STK17A
SUN2 6.3760284907889e-08 0.417394511291226 0.352 0.237 0.00208738420731447 4 SUN2
PPP1R18 6.80052296674116e-08 0.35421195620698 0.38 0.271 0.00222635520885172 4 PPP1R18
PTPRC 8.51787506778157e-08 0.282015683668689 0.542 0.444 0.00278858193969033 4 PTPRC
RAP1B 1.0010519962958e-07 0.255578555144895 0.461 0.35 0.00327724402547319 4 RAP1B
ANXA6 1.38634642409077e-07 0.398760122895257 0.393 0.282 0.00453862092318837 4 ANXA6
DHRS7 5.47503503360447e-07 0.340752642892593 0.405 0.308 0.0179241696930143 4 DHRS7
CD71 6.90671077587528e-07 0.349605676361765 0.47 0.353 0.0226111897380605 4 CD7
ZFP36L22 9.21472089800515e-07 0.301219223428463 0.71 0.644 0.0301671532758893 4 ZFP36L2
CCND3 3.96929354984158e-06 0.322237558981975 0.489 0.403 0.129946732234714 4 CCND3
TUBA4A1 4.34702505245948e-06 0.284690904762001 0.333 0.24 0.142312906167419 4 TUBA4A
RPA2 4.6241806574336e-06 0.292463464524507 0.262 0.171 0.151386426363061 4 RPA2
HNRNPK 5.34850969398285e-06 0.297369450511003 0.551 0.49 0.17509951036161 4 HNRNPK
UBB 6.72372948698332e-06 0.264787276971142 0.798 0.78 0.22012145594486 4 UBB
XBP1 9.94100293892162e-06 0.318891823964224 0.371 0.274 0.325448554214416 4 XBP1
BUB3 1.04269479967628e-05 0.286758264382839 0.293 0.203 0.341357423518022 4 BUB3
CKLF1 1.68967069798633e-05 0.309575482141731 0.293 0.205 0.553164393106764 4 CKLF
HSP90B1 1.7125781805734e-05 0.26979467244304 0.321 0.237 0.560663844756119 4 HSP90B1
PDIA3 2.41634850435917e-05 0.423766081663536 0.408 0.328 0.791064173357104 4 PDIA3
IL7R2 4.4836681045083e-05 0.330478004161211 0.467 0.394 1 4 IL7R
GUK1 0.000192725056770307 0.289288040631845 0.526 0.475 1 4 GUK1
TMEM50A 0.000194980009545699 0.663187833183515 0.324 0.259 1 4 TMEM50A
PPIB 0.000214442526477427 0.327865325153871 0.52 0.47 1 4 PPIB
SPOCK21 0.000357072150273826 0.277546248182497 0.274 0.2 1 4 SPOCK2
KLF61 0.000380555675452822 0.288751970534541 0.688 0.645 1 4 KLF6
CDC37 0.000577754958162921 0.505025988623021 0.283 0.218 1 4 CDC37
VAMP2 0.000594576081339085 0.261257534308548 0.495 0.451 1 4 VAMP2
IL10RA 0.00064713773646878 0.326698242977489 0.268 0.204 1 4 IL10RA
TAP11 0.000723934466025884 0.264209161262612 0.29 0.225 1 4 TAP1
CMPK1 0.000742674373696272 0.379094455813589 0.43 0.37 1 4 CMPK1
CALR 0.000759347894506292 0.256890604866372 0.34 0.272 1 4 CALR
TMED9 0.000856871903685023 0.327090375132994 0.305 0.246 1 4 TMED9
CAPN2 0.000958431734691044 0.358137196298108 0.274 0.215 1 4 CAPN2
SNRPB 0.00122486120395022 0.312470617235069 0.393 0.341 1 4 SNRPB
HNRNPA3 0.00170912167369008 0.250350927303291 0.355 0.306 1 4 HNRNPA3
SPCS21 0.00178670100568656 0.259613702212566 0.358 0.298 1 4 SPCS2
IER2 0.00186542394198226 0.297046173004078 0.648 0.634 1 4 IER2
C9orf16 0.00210946122762978 0.308261820080165 0.405 0.359 1 4 C9orf16
GIMAP52 0.00253155465200002 0.43511851644375 0.343 0.278 1 4 GIMAP5
TXNIP1 0.00280578385216283 0.291733940680756 0.769 0.758 1 4 TXNIP
ACAP11 0.00478280720921265 0.309098259188508 0.349 0.297 1 4 ACAP1
PRMT2 0.00558821659076646 0.439605165586345 0.265 0.211 1 4 PRMT2
CAP1 0.00632680752784828 0.279419955372872 0.449 0.409 1 4 CAP1
CITED2 0.00869062687119202 0.322616566568213 0.271 0.223 1 4 CITED2
CDKN1C 2.05759367788322e-215 1.12866466451211 0.512 0.01 6.73615018265409e-211 5 CDKN1C
RP11-290F20.31 1.62890375639102e-206 1.66694721909038 0.856 0.068 5.33270511767291e-202 5 RP11-290F20.3
HES4 6.64863744570869e-201 1.21396817416702 0.581 0.021 2.17663092697611e-196 5 HES4
MS4A71 3.07795376681396e-186 1.88347950965744 0.812 0.073 1.00766050417956e-181 5 MS4A7
FCGR3A 2.20114816466313e-184 2.29673815287211 0.981 0.135 7.20611886147416e-180 5 FCGR3A
CKB 4.454591238276e-170 0.944319702901028 0.375 0.005 1.4583440795868e-165 5 CKB
IFITM31 1.09421567343333e-142 1.85240495917948 0.981 0.177 3.58224327168602e-138 5 IFITM3
LILRA3 3.31571641061757e-137 1.16683426748354 0.525 0.032 1.08549923850798e-132 5 LILRA3
PILRA1 2.66402025016081e-132 1.33047298796744 0.719 0.079 8.72146949497646e-128 5 PILRA
MS4A4A 4.67014688970244e-132 0.870232627318038 0.375 0.012 1.52891268875078e-127 5 MS4A4A
LRRC251 1.05403717856533e-127 1.2541804034299 0.662 0.067 3.45070691518719e-123 5 LRRC25
CTSL 1.25147933676172e-125 0.939365938046241 0.475 0.028 4.09709305269052e-121 5 CTSL
HMOX1 9.98581253423005e-125 1.17506291575695 0.531 0.04 3.26915530745623e-120 5 HMOX1
SIGLEC10 1.21421208677378e-124 0.994017059297598 0.488 0.031 3.97508752968001e-120 5 SIGLEC10
LST11 2.6146734149719e-123 2.07625035977488 1 0.315 8.55991782593502e-119 5 LST1
LILRB1 3.05364579849175e-123 0.935920796633483 0.5 0.033 9.99702561510228e-119 5 LILRB1
RHOC 6.83896488954706e-121 1.56314959734332 0.85 0.145 2.23894032553992e-116 5 RHOC
HCK1 6.73704987638596e-120 1.33805608234828 0.775 0.11 2.20557538853124e-115 5 HCK
CSF1R 9.6607894534376e-119 1.04508167043587 0.531 0.042 3.1627492512664e-114 5 CSF1R
SERPINA11 9.48647154735506e-118 1.57033195900834 0.944 0.202 3.1056810551731e-113 5 SERPINA1
FCER1G1 1.01887871101678e-117 1.87906672084645 1 0.317 3.33560512412675e-113 5 FCER1G
AIF11 1.60367672079029e-113 1.85788961209674 1 0.334 5.25011684852325e-109 5 AIF1
CD681 5.93684697309136e-113 1.34919719547308 0.919 0.178 1.94360496205065e-108 5 CD68
CFD1 8.11238141391659e-112 1.43460756137981 0.944 0.184 2.65583142728801e-107 5 CFD
SPI11 1.29312155634102e-108 1.40169228784652 0.875 0.171 4.23342135114924e-104 5 SPI1
IFI301 1.58553168282843e-106 1.36441172954635 0.788 0.126 5.19071362324373e-102 5 IFI30
